구분1,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020년,2021년
강원,59.0,37.9,40.9,63.0,66.0,91.5,122.10000000000001,102.0,123.1,126.0,172.39999999999998,157.8,162.1,153.9,163.5,166.7,169.70000000000002,153.5,204.1,161.70000000000002,137.3,162.7,196.3,264.7,104507.8,114571.8
경기,579.0,638.3,636.8,594.0,565.6,573.9,710.3,757.8,745.7,736.7,755.0999999999999,835.4,782.4000000000001,678.6,761.7,781.4,816.8,803.8,842.9,847.3,1017.4000000000001,1129.9,1301.5,1572.0,674379.0,789086.5
경남,173.0,116.5,154.10000000000002,168.7,179.10000000000002,229.7,261.2,263.0,279.5,301.8,364.1,293.7,346.0,333.2,276.5,309.90000000000003,374.4,310.20000000000005,360.90000000000003,307.59999999999997,336.4,331.20000000000005,335.0,409.09999999999997,160810.0,181060.0
경북,59.0,72.7,84.4,112.5,114.30000000000001,103.9,111.9,149.8,194.6,208.70000000000002,207.3,136.4,154.8,147.2,154.3,169.5,181.1,206.89999999999998,185.60000000000002,216.1,280.5,271.0,318.6,320.6,146123.6,147046.80000000002
광주,42.0,49.5,52.400000000000006,58.2,63.6,52.4,129.8,115.80000000000001,134.3,134.0,170.8,153.8,151.4,148.3,126.39999999999999,104.83000000000001,124.1,133.39999999999998,128.89999999999998,141.6,138.5,119.80000000000001,135.3,129.6,51582.7,73882.0
대구,126.0,131.3,197.29999999999998,244.5,261.4,247.89999999999998,233.1,204.5,155.5,130.8,134.7,172.8,158.9,147.3,192.8,196.0,236.8,223.1,188.36,240.6,282.7,285.7,301.1,349.7,132795.4,108613.40000000001
대전,152.4,156.5,126.7,136.3,114.9,120.10000000000001,156.9,161.1,184.0,206.7,173.5,127.7,124.0,121.69999999999999,125.9,105.5,157.8,173.60000000000002,143.0,126.0,121.5,144.4,164.5,202.3,84849.5,75176.4
부산,260.0,249.0,242.5,290.3,260.9,315.1,294.5,302.79999999999995,238.39999999999998,216.5,220.7,306.2,319.9,352.9,290.9,298.5,325.70000000000005,329.7,319.9,328.79999999999995,287.90000000000003,389.5,340.3,508.3,288889.6,195057.2
서울,618.0,599.4,506.59999999999997,589.2,652.2,722.2,649.0,595.0,672.4,651.3,782.7,896.2,698.5999999999999,723.2,580.7,528.5,445.5,441.2,515.5999999999999,555.3,624.7,797.2,741.7,1111.1,593849.8,558579.8
세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.2,11.9,14.3,17.3,23.299999999999997,37.9,33.2,16540.300000000003,23216.2
울산,0.0,61.8,52.2,66.9,74.30000000000001,129.8,150.7,108.1,87.2,94.9,117.80000000000001,109.7,101.1,72.6,74.5,79.8,80.5,84.7,76.9,75.6,96.89999999999999,96.4,100.4,128.8,59688.1,45469.6
인천,100.0,100.7,152.9,145.3,201.9,205.1,216.79999999999998,232.8,237.39999999999998,166.6,127.0,122.9,73.9,47.8,63.5,54.3,95.80000000000001,61.5,49.2,63.1,129.79999999999998,139.3,177.5,254.6,115752.4,147726.8
전남,79.0,76.4,85.8,75.0,73.3,99.6,122.0,136.5,153.5,133.6,130.9,161.20000000000002,177.4,165.2,148.9,167.6,150.1,183.6,187.5,205.1,223.1,189.9,201.1,231.8,97958.0,85923.3
전북,63.0,64.7,64.5,96.10000000000001,92.5,87.5,86.4,94.9,110.5,102.5,131.6,123.9,125.60000000000001,137.0,124.0,130.7,157.1,160.6,136.8,156.6,193.4,213.70000000000002,252.8,217.4,82541.29999999999,86318.29999999999
제주,19.9,29.7,14.899999999999999,22.0,16.2,22.5,24.4,29.2,25.4,19.0,39.2,22.299999999999997,34.5,43.0,32.1,31.900000000000002,65.1,26.4,41.1,51.4,58.6,62.699999999999996,47.4,81.6,46426.399999999994,48265.3
충남,64.0,79.7,77.0,70.9,77.7,77.9,79.4,101.3,97.7,159.5,200.2,192.5,154.6,174.20000000000002,174.2,126.5,173.9,160.79999999999998,203.9,200.10000000000002,232.1,230.20000000000002,286.4,246.9,110946.0,127683.7
충북,48.9,53.800000000000004,73.0,53.8,55.1,48.5,48.2,57.1,65.0,96.7,99.7,101.4,134.89999999999998,52.9,106.7,89.4,114.2,118.1,127.1,185.0,163.2,173.10000000000002,176.3,243.6,97861.09999999999,102501.2
