title,address,tell,date,type
"<em id=""comment_writer"">플라스틱정류장</em>","<p class=""adress"">광주광역시 서구 천변좌로 120</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-7608-1216"">070-7608-1216<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-04-26 16:40:27"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-04-26</em>",수거공간
"<em id=""comment_writer"">파틱스</em>","<p class=""adress"">경상남도 김해시 인제로 197 인제대학교</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-7928-7759/010-4948-3512"">010-7928-7759/010-4948-3512<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-03-02 17:47:09"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-03-02</em>",수거공간
"<em id=""comment_writer"">윤세희</em>","<p class=""adress"">서울특별시 종로구 북촌로6길 32-4</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-6465-9006"">02-6465-9006<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-02-03 17:35:11"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-02-03</em>",수거공간
"<em id=""comment_writer"">에코유</em>","<p class=""adress"">경상남도 거제시 계룡로 126 배진빌딩</p>","<p class=""tell""><a class=""blocked"" href=""tel:01067856614"">01067856614<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-01-07 16:57:02"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-01-07</em>",수거공간
"<em id=""comment_writer"">생태전환마을내일</em>","<p class=""adress"">강원도 강릉시 용지로96번길 25-1</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-12-12 12:09:39"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-12-12</em>",수거공간
"<em id=""comment_writer"">국립청소년미래환경센터</em>","<p class=""adress"">경상북도 봉화군 춘양면 춘양로 1466</p>","<p class=""tell""><a class=""blocked"" href=""tel:054-679-3000"">054-679-3000<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-11-30 12:02:56"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-11-30</em>",수거공간
"<em id=""comment_writer"">비건채식마켓</em>","<p class=""adress"">경상남도 창원시 성산구 신월로 10</p>","<p class=""tell""><a class=""blocked"" href=""tel:055-274-2111"">055-274-2111<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-08-10 12:39:11"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-08-10</em>",수거공간
"<em id=""comment_writer"">자원순환 환장 사회적협동조합</em>","<p class=""adress"">서울특별시 강북구 인수봉로23길 37</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-9416-7015"">010-9416-7015<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-05-24 16:03:13"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-05-24</em>",수거공간
"<em id=""comment_writer"">알맹상점</em>","<p class=""adress"">서울특별시 중구 한강대로 405 경부고속철도서울민자역사</p>","<p class=""tell""><a class=""blocked"" href=""tel:070 7777 1925"">070 7777 1925<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-03-06 12:00:05"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-03-06</em>",수거공간
"<em id=""comment_writer"">얼쓰인어스</em>","<p class=""adress"">세종특별자치시 대평로 86 해들마을 6단지 상가동</p>","<p class=""tell""><a class=""blocked"" href=""tel:044-999-4219"">044-999-4219<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-02-28 15:29:02"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-02-28</em>",수거공간
"<em id=""comment_writer"">햇빛상점</em>","<p class=""adress"">서울특별시 은평구 연서로 16</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-3157-2649"">02-3157-2649<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-02-22 13:59:53"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-02-22</em>",수거공간
"<em id=""comment_writer"">플레이앤두</em>","<p class=""adress"">경기도 용인시 기흥구 이현로30번길 3 솔뫼마을현대홈타운</p>","<p class=""tell""><a class=""blocked"" href=""tel:010 9231 5190"">010 9231 5190<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2022-01-07 13:29:11"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2022-01-07</em>",수거공간
"<em id=""comment_writer"">어거스트</em>","<p class=""adress"">강원도 춘천시 춘천순환로 44</p>","<p class=""tell""><a class=""blocked"" href=""tel:050713470828"">050713470828<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-12-16 18:24:52"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-12-16</em>",수거공간
"<em id=""comment_writer"">일상공감</em>","<p class=""adress"">서울특별시 성북구 삼양로 27</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-11-28 18:33:59"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-11-28</em>",수거공간
"<em id=""comment_writer"">#지구,돌봄</em>","<p class=""adress"">경기도 광명시 하안로288번길 12 하안주공12단지상가</p>","<p class=""tell""><a class=""blocked"" href=""tel:02.899.2081"">02.899.2081<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-11-15 15:37:52"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-11-15</em>",수거공간
"<em id=""comment_writer"">정미나</em>","<p class=""adress"">강원도 영월군 영월읍 덕포시장길 50</p>","<p class=""tell""><a class=""blocked"" href=""tel:033-372-7173"">033-372-7173<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-11-10 15:00:24"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-11-10</em>",수거공간
"<em id=""comment_writer"">Ucyclefor Project</em>","<p class=""adress"">부산광역시 해운대구</p>","<p class=""tell""><a class=""blocked"" href=""tel:01077949694"">01077949694<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-11-01 12:46:52"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-11-01</em>",수거공간
"<em id=""comment_writer"">아워리 라이프</em>","<p class=""adress"">서울특별시 노원구 중계로2길 84</p>","<p class=""tell""><a class=""blocked"" href=""tel:@ourre_life"">@ourre_life<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-10-13 14:58:05"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-10-13</em>",수거공간
"<em id=""comment_writer"">서울환경연합</em>","<p class=""adress"">서울특별시 성동구 성수이로26길 47</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-09-24 15:41:57"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-09-24</em>",수거공간
"<em id=""comment_writer"">북극곰</em>","<p class=""adress"">경기도 남양주시 늘을2로14번길 12</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-08-04 00:00:07"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-08-04</em>",수거공간
"<em id=""comment_writer"">마플상회</em>","<p class=""adress"">부산광역시 북구 산성로 37-1, 2층</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-5187-3926"">010-5187-3926<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-08-02 15:18:49"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-08-02</em>",수거공간
"<em id=""comment_writer"">설해냄</em>","<p class=""adress"">서울특별시 마포구 성미산로17길 101</p>","<p class=""tell""><a class=""blocked"" href=""tel:01088304517"">01088304517<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-30 17:45:29"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-30</em>",수거공간
"<em id=""comment_writer"">마리앤하우스</em>","<p class=""adress"">경상남도 창원시 마산합포구 3·15대로 53-1</p>","<p class=""tell""><a class=""blocked"" href=""tel:0507-1375-6229"">0507-1375-6229<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-29 16:13:04"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-29</em>",수거공간
"<em id=""comment_writer"">무해공간</em>","<p class=""adress"">경기도 성남시 중원구 원터로105번길 5-1</p>","<p class=""tell""><a class=""blocked"" href=""tel:01047613074"">01047613074<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-22 12:07:49"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-22</em>",수거공간
"<em id=""comment_writer"">정은민</em>","<p class=""adress"">전라남도 나주시 그린로 229</p>","<p class=""tell""><a class=""blocked"" href=""tel:061-335-3123"">061-335-3123<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-15 15:00:50"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-15</em>",수거공간
"<em id=""comment_writer"">강서양천시민햇빛발전협동조합</em>","<p class=""adress"">서울특별시 양천구 목동중앙북로16길 41</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-7670-1004"">070-7670-1004<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-13 16:46:01"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-13</em>",수거공간
"<em id=""comment_writer"">싱글룸</em>","<p class=""adress"">충청북도 청주시 상당구 중고개로141번길 14-2</p>","<p class=""tell""><a class=""blocked"" href=""tel:043-293-2581"">043-293-2581<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-13 16:13:38"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-13</em>",수거공간
"<em id=""comment_writer"">열매네살림</em>","<p class=""adress"">서울특별시 강북구 삼양로27길 19 삼성래미안트리베라아파트</p>","<p class=""tell""><a class=""blocked"" href=""tel:01037525370"">01037525370<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-13 14:07:12"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-13</em>",수거공간
"<em id=""comment_writer"">선택지</em>","<p class=""adress"">서울특별시 강동구 천호옛12길 47 현대상가</p>","<p class=""tell""><a class=""blocked"" href=""tel:07041411724"">07041411724<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-12 14:23:00"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-12</em>",수거공간
